"","Well","Sample","SampleType","Ct","WormNumber","strip.well","Line","Strain","Species","start","passage","days.on.plate"
"104","C11","FCX4","strip",Inf,1,3,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"105","C12","FCX4","strip",Inf,3,11,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"106","D2","FCX32","strip",35.3173,3,12,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"107","D3","FCX31","strip",Inf,1,4,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"108","D4","FCX31","strip",Inf,3,12,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"109","D5","FCX3","strip",Inf,1,4,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"110","D6","FCX3","strip",Inf,3,12,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"111","D7","FCX33","strip",34.6154,1,4,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"112","D8","FCX33","strip",35.422,3,12,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"113","D9","FCX34","strip",Inf,1,4,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"114","D10","FCX34","strip",35.7872,3,12,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"115","D11","FCX4","strip",35.5128,1,4,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"116","D12","FCX4","strip",34.7937,3,12,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"117","E2","FCX32","strip",34.4218,3,13,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"118","E3","FCX31","strip",Inf,2,5,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"119","E4","FCX31","strip",Inf,3,13,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"120","E5","FCX3","strip",Inf,2,5,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"121","E6","FCX3","strip",Inf,3,13,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"122","E7","FCX33","strip",Inf,2,5,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"123","E8","FCX33","strip",Inf,3,13,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"124","E9","FCX34","strip",Inf,2,5,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"125","E10","FCX34","strip",34.019,3,13,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"126","E11","FCX4","strip",Inf,2,5,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"127","E12","FCX4","strip",Inf,3,13,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"128","F2","FCX32","strip",35.7483,3,14,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"129","F3","FCX31","strip",35.3345,2,6,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"130","F4","FCX31","strip",Inf,3,14,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"131","F5","FCX3","strip",Inf,2,6,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"132","F6","FCX3","strip",Inf,3,14,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"133","F7","FCX33","strip",Inf,2,6,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"134","F8","FCX33","strip",35.5699,3,14,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"135","F9","FCX34","strip",35.5131,2,6,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"136","F10","FCX34","strip",Inf,3,14,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"137","F11","FCX4","strip",Inf,2,6,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"138","F12","FCX4","strip",35.4198,3,14,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"139","G2","FCX32","strip",Inf,3,15,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"140","G3","FCX31","strip",Inf,2,7,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"141","G4","FCX31","strip",Inf,3,15,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"142","G5","FCX3","strip",Inf,2,7,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"143","G6","FCX3","strip",Inf,3,15,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"144","G7","FCX33","strip",35.5259,2,7,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"145","G8","FCX33","strip",Inf,3,15,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"146","G9","FCX34","strip",35.5995,2,7,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"147","G10","FCX34","strip",Inf,3,15,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"148","G11","FCX4","strip",Inf,2,7,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"149","G12","FCX4","strip",35.3465,3,15,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"150","H2","FCX32","strip",35.2781,3,16,"FCX32","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"151","H3","FCX31","strip",Inf,3,8,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"152","H4","FCX31","strip",Inf,3,16,"FCX31","JU1873","wallacei","4/7/2022 9:30","4/12/2022 8:30",4.958333333
"153","H5","FCX3","strip",34.639,3,8,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"154","H6","FCX3","strip",Inf,3,16,"FCX3","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"155","H7","FCX33","strip",35.8349,3,8,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"156","H8","FCX33","strip",Inf,3,16,"FCX33","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"157","H9","FCX34","strip",18.7746,3,8,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"158","H10","FCX34","strip",36,3,16,"FCX34","JU1873","wallacei","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"159","H11","FCX4","strip",Inf,3,8,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"160","H12","FCX4","strip",35.2883,3,16,"FCX4","JU4093","sp.66","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"161","A3","FCX38","strip",Inf,0,1,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"162","A4","FCX38","strip",Inf,3,9,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"163","A5","FCX5","strip",Inf,0,1,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"164","A6","FCX5","strip",Inf,3,9,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"165","A7","FCX14","strip",Inf,0,1,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"166","A8","FCX14","strip",Inf,3,9,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"167","A9","FCX10","strip",Inf,0,1,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"168","A10","FCX10","strip",35.8763,3,9,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"169","A11","FCX36","strip",Inf,0,1,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"170","A12","FCX36","strip",20.4776,3,9,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"171","B3","FCX38","strip",21.4427,1,2,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"172","B4","FCX38","strip",28.2847,3,10,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"173","B5","FCX5","strip",Inf,1,2,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"174","B6","FCX5","strip",Inf,3,10,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"175","B7","FCX14","strip",Inf,1,2,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"176","B8","FCX14","strip",Inf,3,10,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"177","B9","FCX10","strip",Inf,1,2,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"178","B10","FCX10","strip",Inf,3,10,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"179","B11","FCX36","strip",32.7438,1,2,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"180","B12","FCX36","strip",21.1046,3,10,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"181","C3","FCX38","strip",Inf,1,3,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"182","C4","FCX38","strip",23.0651,3,11,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"183","C5","FCX5","strip",Inf,1,3,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"184","C6","FCX5","strip",21.37,3,11,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"185","C7","FCX14","strip",27.8762,1,3,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"186","C8","FCX14","strip",Inf,3,11,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"187","C9","FCX10","strip",Inf,1,3,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"188","C10","FCX10","strip",Inf,3,11,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"189","C11","FCX36","strip",24.9638,1,3,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"190","C12","FCX36","strip",21.3187,3,11,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"191","D1","FCX36","strip",21.8622,3,16,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"192","D3","FCX38","strip",35.6694,1,4,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"193","D4","FCX38","strip",19.5028,3,12,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"194","D5","FCX5","strip",Inf,1,4,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"195","D6","FCX5","strip",18.1108,3,12,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"196","D7","FCX14","strip",Inf,1,4,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"197","D8","FCX14","strip",Inf,3,12,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"198","D9","FCX10","strip",Inf,1,4,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"199","D10","FCX10","strip",Inf,3,12,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"200","D11","FCX36","strip",25.2575,1,4,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"201","D12","FCX36","strip",18.671,3,12,"FCX36","SB454","sulstoni","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"202","E3","FCX38","strip",Inf,2,5,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"203","E4","FCX38","strip",25.3041,3,13,"FCX38","SB454","sulstoni","4/7/2022 9:30","4/12/2022 12:10",5.111111111
"204","E5","FCX5","strip",35.8848,2,5,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"205","E6","FCX5","strip",35.0921,3,13,"FCX5","JU4093","sp.66","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"206","E7","FCX14","strip",Inf,2,5,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"207","E8","FCX14","strip",Inf,3,13,"FCX14","JU1428","tropicalis","4/7/2022 9:30","4/13/2022 9:20",5.993055556
"208","E9","FCX10","strip",Inf,2,5,"FCX10","JU1857","macrosperma","4/7/2022 9:30","4/13/2022 9:20",5.993055556
