"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME","Sample","Passage","Ct","infected"
"113","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.2","2",12.3115,1
"114","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.3","3",14.155,1
"115","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.4","4",13.4218,1
"116","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.5","5",16.6605,1
"117","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.7","7",11.8148,1
"118","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.8","8",11.2884,1
"119","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.6","6",12.7635,1
"120","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.9","9",11.5414,1
"121","FCY20","SB454","sulstoni","FCY",10,27.0246,29.4674282501463,1,0.18,1,0.25,0.13,0.42,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.220707004602082,"C. sulstoni
 SB454","FCY20.10","10",14.0733,1
"122","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.1","1",11.8324,1
"123","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.2","2",12.7301,1
"124","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.3","3",16.3746,1
"125","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.4","4",13.1329,1
"126","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.5","5",15.8738,1
"127","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.8","8",12.2659,1
"128","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.7","7",11.395,1
"129","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.6","6",12.092,1
"130","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.9","9",11.1391,1
"131","FCY21","SB454","sulstoni","FCY",10,21.51325,27.9459944391971,1,0.09,1,0.55,0.24,0.84,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.511739364850115,"C. sulstoni
 SB454","FCY21.10","10",15.1441,1
"132","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.1","1",12.2361,1
"133","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.2","2",12.4925,1
"134","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.3","3",13.6833,1
"135","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.4","4",11.4626,1
"136","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.5","5",12,1
"137","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.6","6",12.4502,1
"138","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.7","7",13.7185,1
"139","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.8","8",13.8197,1
"140","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.9","9",15.2205,1
"141","FCY22","SB454","sulstoni","FCY",10,27.7143,28.1995667410219,1,0.06,1,0.5,0.22,0.79,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.461873861964826,"C. sulstoni
 SB454","FCY22.10","10",14.4413,1
"142","FCY23","JU1857","macrosperma","FCY",1,34.6761,30.9385696472594,0,0,0.2,0.23,0.11,0.4,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCY23.1","1",28.64,1
"143","FCY23","JU1857","macrosperma","FCY",1,34.6761,30.9385696472594,0,0,0.2,0.23,0.11,0.4,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCY23.2","2",Inf,0
"144","FCY24","JU1857","macrosperma","FCY",1,29.06855,31.1414274887193,0,0,0.24,0.19,0.09,0.35,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCY24.1","1",35.5381,1
"145","FCY24","JU1857","macrosperma","FCY",1,29.06855,31.1414274887193,0,0,0.24,0.19,0.09,0.35,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCY24.2","2",Inf,0
"146","FCY25","JU1857","macrosperma","FCY",0,26.2148,31.648572092369,0,0,0.63,0.09,0.03,0.22,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCY25.1","1",Inf,0
"147","FCY26","JU1857","macrosperma","FCY",1,32.80365,31.8007154734639,0,0,1,0.06,0.01,0.16,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCY26.1","1",35,1
"148","FCY26","JU1857","macrosperma","FCY",1,32.80365,31.8007154734639,0,0,1,0.06,0.01,0.16,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857","FCY26.2","2",Inf,0
"149","FCY27","VX80","latens","FCY",2,33.9369,29.2815531717692,0.1,0.01,0.49,0.28,0.14,0.46,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0192730921151922,"C. latens
 VX80","FCY27.1","1",26.0629,1
"150","FCY27","VX80","latens","FCY",2,33.9369,29.2815531717692,0.1,0.01,0.49,0.28,0.14,0.46,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0192730921151922,"C. latens
 VX80","FCY27.2","2",34.793,1
"151","FCY27","VX80","latens","FCY",2,33.9369,29.2815531717692,0.1,0.01,0.49,0.28,0.14,0.46,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0.0192730921151922,"C. latens
 VX80","FCY27.3","3",Inf,0
"152","FCY28","VX80","latens","FCY",0,26.3376,30.0422700772438,0,0,0.37,0.13,0.06,0.26,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80","FCY28.1","1",Inf,0
"153","FCY29","VX80","latens","FCY",1,26.8695,30.2451279187037,0,0,0.64,0.09,0.03,0.21,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80","FCY29.1","1",33.1531,1
"154","FCY29","VX80","latens","FCY",1,26.8695,30.2451279187037,0,0,0.64,0.09,0.03,0.21,"VX80",12.3,5.5,25.1,"VX80",0.00354466858789625,0.0015850144092219,0.00723342939481268,0,"C. latens
 VX80","FCY29.2","2",Inf,0
"155","FCY3","ZF1092","sp.25","FCY",0,34.78925,32.5892561596406,0,0,0.89,0.08,0.02,0.21,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCY3.1","1",Inf,0
