"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME","Sample","Passage","Ct","infected"
"186","FCZ13","JU4093","sp.65","FCZ",1,35.152,30.9160640931633,0,0,0.3,0.16,0.07,0.31,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093","FCZ13.1","1",32.6552,1
"187","FCZ13","JU4093","sp.65","FCZ",1,35.152,30.9160640931633,0,0,0.3,0.16,0.07,0.31,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093","FCZ13.2","2",Inf,0
"188","FCZ14","JU4093","sp.65","FCZ",0,35.7448,30.5610628706085,0.31,0.05,1,0.23,0.11,0.4,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.0296267487921727,"C. sp. 65
 JU4093","FCZ14.1","1",Inf,0
"189","FCZ15","JU1428","tropicalis","FCZ",0,35.14295,30.1247176821192,0,0,0.24,0.2,0.09,0.36,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCZ15.1","1",Inf,0
"190","FCZ16","JU1428","tropicalis","FCZ",0,27.0402,29.4654296973746,0,0,0.14,0.33,0.13,0.58,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0,"C. tropicalis
 JU1428","FCZ16.1","1",Inf,0
"191","FCZ17","JU1428","tropicalis","FCZ",1,35.3801,30.1247176821192,0.13,0.01,0.77,0.2,0.08,0.38,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0204483977867247,"C. tropicalis
 JU1428","FCZ17.1","1",37.8597,1
"192","FCZ17","JU1428","tropicalis","FCZ",1,35.3801,30.1247176821192,0.13,0.01,0.77,0.2,0.08,0.38,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0204483977867247,"C. tropicalis
 JU1428","FCZ17.2","2",Inf,0
"193","FCZ18","JU1428","tropicalis","FCZ",0,31.3263,29.6682875388345,0.09,0.01,0.46,0.29,0.15,0.48,"JU1428",66.5,18.1,218.3,"JU1428",0.019164265129683,0.00521613832853026,0.0629106628242075,0.0211643312928293,"C. tropicalis
 JU1428","FCZ18.1","1",Inf,0
"194","FCZ19","ZF1092","sp.25","FCZ",0,NA,32.9949718425604,1,0,1,0,0,0.08,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCZ19.1","1",Inf,0
"195","FCZ20","ZF1092","sp.25","FCZ",0,35.6937,32.5385416992756,0,0,1,0.09,0.01,0.34,"ZF1092",0.5,0.1,1.9,"ZF1092",0.000144092219020173,2.88184438040346e-05,0.000547550432276657,0,"C. sp. 25
 ZF1092","FCZ20.1","1",Inf,0
