,Well,Sample,SampleType,Ct,WormNumber,Line,Strain,Species,start,passage,days.on.plate,inf
266,G4,FCY34,strip,35.2727,2,FCY34,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,1
267,G5,FCY34,strip,27.1177,3,FCY34,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,1
268,G6,FCY22,strip,26.3204,2,FCY22,SB454,sulstoni,5/10/2022 14:00,5/17/2022 12:15,6.927083333,1
269,G7,FCY19,strip,23.7139,2,FCY19,SB454,sulstoni,5/10/2022 14:00,5/17/2022 12:15,6.927083333,1
270,G8,FCY32,strip,24.3216,2,FCY32,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,1
271,G9,FCY32,strip,Inf,3,FCY32,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,0
272,G10,FCY16,strip,Inf,2,FCY16,JU724,latens,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
273,G11,FCY16,strip,21.5541,3,FCY16,JU724,latens,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
274,G12,FCY6,strip,32.9083,2,FCY6,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
275,H3,FCY6,strip,Inf,3,FCY6,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
276,H4,FCY34,strip,31.588,3,FCY34,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,1
277,H5,FCY34,strip,Inf,3,FCY34,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,0
278,H6,FCY22,strip,Inf,3,FCY22,SB454,sulstoni,5/10/2022 14:00,5/17/2022 12:15,6.927083333,0
279,H7,FCY19,strip,32.5382,3,FCY19,SB454,sulstoni,5/10/2022 14:00,5/17/2022 12:15,6.927083333,1
280,H8,FCY32,strip,Inf,3,FCY32,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,0
281,H9,FCY32,strip,Inf,3,FCY32,JU1428,tropicalis,5/10/2022 14:00,5/17/2022 12:15,6.927083333,0
282,H10,FCY16,strip,Inf,3,FCY16,JU724,latens,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
283,H11,FCY16,strip,Inf,3,FCY16,JU724,latens,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
284,A2,FCY20,strip,Inf,0,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
285,A3,FCY20,strip,20.0927,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
286,A4,FCY33,strip,Inf,0,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
287,A5,FCY25,strip,Inf,0,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
288,A6,FCY25,strip,Inf,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
289,A7,FCY21,strip,Inf,0,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
290,A8,FCY4,strip,Inf,0,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
291,A9,FCY4,strip,Inf,3,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
292,A10,FCY3,strip,Inf,0,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
293,A11,FCY27,strip,Inf,0,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
294,A12,FCY27,strip,Inf,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
295,B2,FCY20,strip,Inf,1,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
296,B3,FCY20,strip,27.0246,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
297,B4,FCY33,strip,Inf,1,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
298,B5,FCY25,strip,Inf,1,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
299,B6,FCY25,strip,Inf,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
300,B7,FCY21,strip,23.0324,1,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
301,B8,FCY4,strip,Inf,1,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
302,B9,FCY4,strip,Inf,3,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
303,B10,FCY3,strip,Inf,1,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
304,B11,FCY27,strip,Inf,1,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
305,B12,FCY27,strip,Inf,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
306,C2,FCY20,strip,Inf,1,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
307,C3,FCY20,strip,Inf,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
308,C4,FCY33,strip,Inf,1,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
309,C5,FCY25,strip,Inf,1,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
310,C6,FCY25,strip,Inf,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
311,C7,FCY21,strip,19.9941,1,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
312,C8,FCY4,strip,Inf,1,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
313,C9,FCY4,strip,Inf,3,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
314,C10,FCY3,strip,Inf,1,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
315,C11,FCY27,strip,34.7003,1,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
316,C12,FCY27,strip,Inf,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
317,D2,FCY20,strip,Inf,1,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
318,D3,FCY20,strip,Inf,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
319,D4,FCY33,strip,Inf,1,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
320,D5,FCY25,strip,Inf,1,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
321,D6,FCY25,strip,Inf,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
322,D7,FCY21,strip,Inf,1,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
323,D8,FCY4,strip,Inf,1,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
324,D9,FCY3,strip,Inf,3,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
325,D10,FCY3,strip,Inf,1,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
326,D11,FCY27,strip,Inf,1,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
327,D12,FCY27,strip,30.1173,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
328,E2,FCY20,strip,28.0291,2,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
329,E3,FCY20,strip,32.0299,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
330,E4,FCY33,strip,33.7108,2,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
331,E5,FCY25,strip,Inf,2,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
332,E6,FCY25,strip,Inf,3,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
333,E7,FCY21,strip,24.407,2,FCY21,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
334,E8,FCY4,strip,Inf,2,FCY4,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
335,E9,FCY3,strip,Inf,3,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
336,E10,FCY3,strip,36,2,FCY3,ZF1092,sp.25,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
337,E11,FCY27,strip,35.8316,2,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
338,E12,FCY27,strip,34.8279,3,FCY27,VX80,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,1
339,F2,FCY20,strip,26.3667,2,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
340,F3,FCY20,strip,Inf,3,FCY20,SB454,sulstoni,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
341,F4,FCY33,strip,28.2022,2,FCY33,JU1428,tropicalis,5/10/2022 14:00,5/18/2022 8:30,7.770833333,1
342,F5,FCY25,strip,Inf,2,FCY25,JU1857,macrosperma,5/10/2022 14:00,5/18/2022 8:30,7.770833333,0
