,Well,Sample,SampleType,Ct,WormNumber,Line,Strain,Species,start,passage,days.on.plate,inf
432,G5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
433,G6,FCY26,strip,Inf,2,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
434,G7,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
435,H3,FCY15,strip,Inf,3,FCY15,JU724,latens,5/10/2022 14:00,5/18/2022 12:45,7.947916667,0
436,H4,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
437,H5,FCY31,strip,Inf,3,FCY31,JU1428,tropicalis,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
438,H6,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
439,H7,FCY26,strip,Inf,3,FCY26,JU1857,macrosperma,5/10/2022 14:00,5/19/2022 9:00,8.791666667,0
440,A2,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
441,A3,FCY30,strip,Inf,0,FCY30,VX80,latens,5/10/2022 14:00,5/21/2022 5:25,10.64236111,0
442,A4,FCY30,strip,28.7081,3,FCY30,VX80,latens,5/10/2022 14:00,5/21/2022 5:25,10.64236111,1
443,A5,FCY17,strip,Inf,0,FCY17,JU724,latens,5/10/2022 14:00,5/21/2022 5:25,10.64236111,0
444,A6,FCY17,strip,Inf,3,FCY17,JU724,latens,5/10/2022 14:00,5/21/2022 5:25,10.64236111,0
445,A7,FCY29,strip,Inf,0,FCY29,VX80,latens,5/10/2022 14:00,5/23/2022 8:30,12.77083333,0
446,A8,FCY29,strip,Inf,3,FCY29,VX80,latens,5/10/2022 14:00,5/23/2022 8:30,12.77083333,0
447,B2,FCY28,strip,Inf,3,FCY28,VX80,latens,5/10/2022 14:00,5/20/2022 8:30,9.770833333,0
448,B3,FCY30,strip,35.7752,1,FCY30,VX80,latens,5/10/2022 14:00,5/21/2022 5:25,10.64236111,1
449,B4,FCY30,strip,20.5201,3,FCY30,VX80,latens,5/10/2022 14:00,5/21/2022 5:25,10.64236111,1
