"","Line","Strain","Species","block","trans.ability","median.ct","pre.ct","best.y","l.y","h.y","best.p","l.p","h.p","strain.overall","TCID50","conf.low","conf.high","strain.group","rel.susc","rel.susc.low","rel.susc.high","p.paper","NAME"
"22","FCX35","SB454","sulstoni","FCX",0,35.4485,30.277874238694,1,0.15,1,0.06,0.02,0.16,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.050978147307842,"C. sulstoni
 SB454"
"23","FCX36","SB454","sulstoni","FCX",10,25.2575,25.8905470040541,1,0.05,1,1,0.67,1,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.969296534072151,"C. sulstoni
 SB454"
"24","FCX37","SB454","sulstoni","FCX",10,34.0097,28.5976212552149,1,0.11,1,0.42,0.23,0.64,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.383157011304896,"C. sulstoni
 SB454"
"25","FCX38","SB454","sulstoni","FCX",10,28.55605,28.1308843153596,1,0.09,1,0.52,0.31,0.74,"SB454",177.5,61.1,460.1,"SB454",0.0511527377521614,0.0176080691642651,0.132593659942363,0.481314922473617,"C. sulstoni
 SB454"
"26","FCX4","JU4093","sp.65","FCX",0,35.3465,30.850817356524,0,0,0.31,0.16,0.06,0.31,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093"
"27","FCX5","JU4093","sp.65","FCX",9,31.1695,30.2440593347121,1,0.16,1,0.29,0.16,0.48,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.127370027691331,"C. sp. 65
 JU4093"
"28","FCX6","JU4093","sp.65","FCX",1,NA,26.9302270617394,1,0,1,1,0,1,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0.683755344355391,"C. sp. 65
 JU4093"
"29","FCX7","JU1857","macrosperma","FCX",0,NA,27.3382164064972,1,0,1,1,0,1,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0.959025064578874,"C. macrosperma
 JU1857"
"30","FCX8","JU1857","macrosperma","FCX",1,28.1944,31.5855225591805,0.3,0.02,1,0.09,0.01,0.33,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0.0222462897059929,"C. macrosperma
 JU1857"
"31","FCX9","JU1857","macrosperma","FCX",1,32.67595,28.551732450121,0,0,0.09,0.74,0.31,0.98,"JU1857",300.5,110.5,665.7,"JU1857",0.0865994236311239,0.0318443804034582,0.191844380403458,0,"C. macrosperma
 JU1857"
"32","FCY10","JU4093","sp.65","FCY",1,NA,31.5975964602925,1,0,1,0,0,0.05,"JU4093",2.3,0.9,5.5,"JU4093",0.000662824207492795,0.000259365994236311,0.0015850144092219,0,"C. sp. 65
 JU4093"
"33","FCY11","JU1873","wallacei","FCY",0,32.92595,32.8590964707488,0,0,0.41,0.13,0.05,0.27,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"34","FCY12","JU1873","wallacei","FCY",0,35.7333,32.7190753887922,0,0,0.31,0.16,0.06,0.31,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"35","FCY13","JU1873","wallacei","FCY",1,30.14745,33.1858123286475,0,0,1,0.06,0.02,0.17,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"36","FCY14","JU1873","wallacei","FCY",2,32.4633,32.1123173669803,0,0,0.15,0.29,0.15,0.48,"JU1873",17.7,6.1,45.9,"JU1873",0.00510086455331412,0.00175792507204611,0.0132276657060519,0,"C. wallacei
 JU1873"
"37","FCY15","JU724.1","latens","FCY",1,31.4355,31.2888023809165,0,0,0.55,0.12,0.03,0.33,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0,"C. latens
 JU724"
"38","FCY16","JU724.1","latens","FCY",0,27.80335,31.2888023809165,0.22,0.02,1,0.12,0.05,0.26,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0.0165105647449024,"C. latens
 JU724"
"39","FCY17","JU724.1","latens","FCY",3,34.4993,31.2888023809165,0.22,0.02,1,0.12,0.05,0.26,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0.0165105647449024,"C. latens
 JU724"
"40","FCY18","JU724.1","latens","FCY",2,34.6547,31.0087602170033,0.15,0.01,1,0.18,0.05,0.41,"JU724",26.5,5.7,87.9,"JU724",0.00763688760806916,0.00164265129682997,0.0253314121037464,0.0174268601867096,"C. latens
 JU724"
