"","Sample","Passage","Ct","Line","Strain","Species","start","passage","days.on.plate"
"186","FDI7.4",NA,NA,"FDI7","JU1428","tropicalis","1/0/1900 0:00","",0
"187","FDI8.4",NA,NA,"FDI8","JU1428","tropicalis","1/0/1900 0:00","",0
"188","FDI9.4",NA,NA,"FDI9","JU1428","tropicalis","1/0/1900 0:00","",0
"189","FDI10.4",NA,NA,"FDI10","JU1428","tropicalis","1/0/1900 0:00","",0
"190","FDI11.4",NA,NA,"FDI11","JU1857","macrosperma","1/0/1900 0:00","",0
"191","FDI12.4",NA,NA,"FDI12","JU1857","macrosperma","1/0/1900 0:00","",0
"192","FDI14.4",NA,NA,"FDI14","JU1857","macrosperma","1/0/1900 0:00","",0
"193","FDI21.4",NA,NA,"FDI21","JU724","latens","1/0/1900 0:00","",0
"194","FDI23.4",NA,NA,"FDI23","JU4093","sp.65","1/0/1900 0:00","",0
"195","FDI27.4",NA,NA,"FDI27","JU1873","wallacei","1/0/1900 0:00","",0
"196","FDI28.4",NA,NA,"FDI28","JU1873","wallacei","1/0/1900 0:00","",0
"197","FDI29.4",NA,NA,"FDI29","JU1873","wallacei","1/0/1900 0:00","",0
"198","FDI30.4",NA,NA,"FDI30","JU1873","wallacei","1/0/1900 0:00","",0
"199","FDI31.4",NA,NA,"FDI31","VX80","latens","1/0/1900 0:00","",0
"200","FDI32.4",NA,NA,"FDI32","VX80","latens","1/0/1900 0:00","",0
"201","FDI33.4",NA,NA,"FDI33","VX80","latens","1/0/1900 0:00","",0
"202","FDI34.4",NA,NA,"FDI34","VX80","latens","1/0/1900 0:00","",0
"203","FDI3.5",NA,NA,"FDI3","ZF1092","sp.25","1/0/1900 0:00","",0
"204","FDI4.5",NA,NA,"FDI4","ZF1092","sp.25","1/0/1900 0:00","",0
"205","FDI5.5",NA,NA,"FDI5","ZF1092","sp.25","1/0/1900 0:00","",0
"206","FDI6.5",NA,NA,"FDI6","ZF1092","sp.25","1/0/1900 0:00","",0
