"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"162","G6","FDI7","strip",Inf,2,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"163","G7","FDI7","strip",33.6634,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"164","G8","FDI24","strip",Inf,2,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"165","G9","FDI24","strip",34.6144,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"166","G10","FDI23","strip",35.5914,2,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"167","G11","FDI23","strip",32.1163,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"168","G12","FDI27","strip",Inf,2,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"169","H6","FDI7","strip",33.1439,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"170","H7","FDI7","strip",Inf,3,"FDI7","JU1428","tropicalis","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"171","H8","FDI24","strip",30.1065,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"172","H9","FDI24","strip",33.8389,3,"FDI24","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"173","H10","FDI23","strip",27.4837,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"174","H11","FDI23","strip",Inf,3,"FDI23","JU4093","sp.65","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"175","H12","FDI27","strip",Inf,3,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"176","A2","FDI27","strip",Inf,3,"FDI27","JU1873","wallacei","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"177","A3","FDI14","strip",Inf,0,"FDI14","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
"178","A4","FDI14","strip",Inf,3,"FDI14","JU1857","macrosperma","9/14/2022 14:00","9/19/2022 12:00",4.916666667
