"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"109","B5","FCZ28","strip",Inf,1,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"110","B6","FCZ28","strip",26.6573,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"111","B7","FCZ14","strip",Inf,1,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"112","B8","FCZ14","strip",Inf,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"113","B9","FCZ13","strip",Inf,1,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"114","B10","FCZ13","strip",Inf,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"115","B11","FCZ18","strip",Inf,1,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"116","B12","FCZ18","strip",24.9755,3,"FCZ18","JU1428","tropicalis","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"117","C3","FCZ10","strip",Inf,1,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"118","C4","FCZ10","strip",16.8209,3,"FCZ10","SB454","sulstoni","6/15/2022 13:45","6/20/2022 11:40",4.913194444
"119","C5","FCZ28","strip",Inf,1,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"120","C6","FCZ28","strip",36,3,"FCZ28","JU1873","wallacei","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"121","C7","FCZ14","strip",34.3694,1,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"122","C8","FCZ14","strip",Inf,3,"FCZ14","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"123","C9","FCZ13","strip",Inf,1,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
"124","C10","FCZ13","strip",39.229,3,"FCZ13","JU4093","sp.65","6/15/2022 13:45","6/21/2022 8:00",5.760416667
