"","Well","Sample","SampleType","Ct","WormNumber","Line","Strain","Species","start","passage","days.on.plate"
"268","B8","FCZ21","strip",Inf,1,"FCZ21","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"269","B9","FCZ20","strip",Inf,1,"FCZ20","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"270","B10","FCZ19","strip",Inf,1,"FCZ19","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"271","B11","FCZ19","strip",Inf,3,"FCZ19","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"272","B12","FCZ6","strip",31.1558,1,"FCZ6","JU1857","macrosperma","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"273","C1","FCZ23","strip",31.6691,3,"FCZ23","VX80","latens","6/15/2022 13:45","6/21/2022 11:45",5.916666667
"274","C2","FCZ26","strip",Inf,1,"FCZ26","VX80","latens","6/15/2022 13:45","6/22/2022 7:00",6.71875
"275","C3","FCZ17","strip",39.6657,3,"FCZ17","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"276","C4","FCZ17","strip",Inf,1,"FCZ17","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"277","C5","FCZ16","strip",Inf,1,"FCZ16","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"278","C6","FCZ16","strip",Inf,1,"FCZ16","JU1428","tropicalis","6/15/2022 13:45","6/22/2022 7:00",6.71875
"279","C7","FCZ12","strip",Inf,1,"FCZ12","JU4093","sp.65","6/15/2022 13:45","6/22/2022 7:00",6.71875
"280","C8","FCZ21","strip",Inf,1,"FCZ21","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"281","C9","FCZ20","strip",Inf,1,"FCZ20","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"282","C10","FCZ19","strip",Inf,1,"FCZ19","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"283","C11","FCZ19","strip",Inf,3,"FCZ19","ZF1092","sp.25","6/15/2022 13:45","6/23/2022 8:10",7.767361111
"284","C12","FCZ6","strip",Inf,1,"FCZ6","JU1857","macrosperma","6/15/2022 13:45","6/23/2022 8:10",7.767361111
