Sample,Plates.Glowing,Plates.Total,Fraction.Glowing
FDI1,0,3,0
FDI2,3,3,1
FDI3,0,1,0
FDI4,0,3,0
FDI5,0,3,0
FDI6,0,1,0
FDI7,0,3,0
FDI8,0,3,0
FDI9,0,3,0
FDI10,0,3,0
FDI11,0,3,0
FDI12,0,3,0
FDI14,0,3,0
FDI15,3,3,1
FDI16,3,3,1
FDI17,3,3,1
FDI18,3,3,1
FDI19,3,3,1
FDI20,3,3,1
FDI21,3,3,1
FDI22,3,3,1
FDI23,2,3,0.666666667
FDI24,3,3,1
FDI25,3,3,1
FDI26,3,3,1
FDI27,0,3,0
FDI28,0,3,0
FDI29,0,3,0
FDI30,0,3,0
FDI31,0,3,0
FDI34,1,3,0.333333333
